,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,neighborhood,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage
214,0.141,395,2.3 people,1.5,2.2,185,39.0 years,41.1 years,"$123,293","$1,207","Glen Forest neighborhood in Raleigh, NC",46.3%,42.9%,34.9%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.1%,66.9%
215,0.072,46,28.0 people,2.0,1.7,16,55.2 years,49.4 years,"$90,982","$1,215","Glen Lake neighborhood in Raleigh, NC",36.9%,42.8%,32.0%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,2.2%,17.0%,64.1%
216,0.004,12,1.9 people,1.8,2.0,6,39.1 years,35.0 years,"$77,179",$831,"Glenanneve Place neighborhood in Raleigh, NC",36.5%,59.7%,26.3%,40.5%,3.0%,31.8%,0.8%,20.8%,23.1%,0.0%,15.4%,64.5%
217,0.016,10,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982","$1,215","Glenlake Gardens neighborhood in Raleigh, NC",36.9%,42.8%,33.4%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.7%,64.1%
218,0.026,43,2.8 people,1.8,2.0,22,32.1 years,28.8 years,"$72,538",$777,"Glenoe on Ferry neighborhood in Raleigh, NC",37.0%,39.4%,23.1%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,2.4%,8.7%,75.5%
219,0.116,28,21.0 people,1.7,1.7,17,36.7 years,30.7 years,"$65,332",$853,"Glenwood Forest neighborhood in Raleigh, NC",48.6%,38.8%,42.1%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.4%,96.9%
220,0.095,506,1.5 people,1.2,1.5,276,33.8 years,39.8 years,"$50,824",$855,"Glenwood neighborhood in Raleigh, NC",48.3%,45.4%,41.2%,23.4%,5.9%,20.1%,0.4%,23.2%,26.5%,0.0%,2.8%,85.9%
221,0.225,"1,757",1.6 people,0.9,1.4,"1,090",35.0 years,35.9 years,"$45,869",$699,"Glenwood South neighborhood in Raleigh, NC",49.2%,45.3%,72.0%,9.4%,4.9%,10.0%,0.5%,16.3%,26.5%,0.5%,31.0%,90.2%
222,0.031,7,21.0 people,1.7,1.7,4,36.7 years,30.7 years,"$65,332",$853,"Glenwood Station neighborhood in Raleigh, NC",48.6%,38.8%,44.5%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.8%,96.9%
223,0.012,26,2.1 people,1.2,2.2,13,59.9 years,57.1 years,"$99,318",$872,"Gloucester Townhomes neighborhood in Raleigh, NC",54.2%,39.7%,48.1%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.6%,73.4%
224,0.036,70,2.6 people,1.3,2.0,36,41.8 years,38.3 years,"$48,750",$651,"Golden Forest neighborhood in Raleigh, NC",23.9%,53.7%,15.0%,42.1%,19.3%,41.8%,3.1%,19.8%,17.7%,7.5%,1.2%,73.9%
225,0.001,3,2.6 people,8.8,2.2,1,46.7 years,50.2 years,"$170,625",$862,"Goode-Branch Townhomes neighborhood in Raleigh, NC",36.5%,59.7%,33.9%,49.7%,3.0%,73.7%,0.8%,3.4%,6.5%,0.0%,1.0%,74.8%
226,,3,1.6 people,1.2,1.5,2,33.2 years,38.0 years,"$60,882",$871,"Governors Point Towhomes neighborhood in Raleigh, NC",48.3%,45.4%,50.6%,25.6%,5.9%,21.6%,0.4%,23.9%,27.1%,0.0%,3.2%,85.7%
227,0.002,5,2.1 people,1.1,1.4,2,31.8 years,34.6 years,"$44,079",$671,"Governors Townes neighborhood in Raleigh, NC",37.6%,55.3%,21.9%,50.3%,5.9%,27.1%,1.2%,22.6%,16.0%,0.0%,26.1%,79.0%
228,0.096,276,36.0 people,1.3,2.0,118,29.3 years,23.3 years,"$42,756",$767,"Granite Ridge neighborhood in Raleigh, NC",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,4.2%,19.3%,84.5%
229,0.021,19,2.6 people,1.2,2.1,8,42.3 years,44.4 years,"$110,083","$1,031","Grayson neighborhood in Raleigh, NC",53.2%,39.1%,34.0%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.4%,78.6%
230,0.042,88,2.9 people,4.7,2.0,41,35.4 years,25.4 years,"$57,859",$841,"Green Acres neighborhood in Raleigh, NC",26.9%,57.8%,16.1%,61.0%,12.5%,49.3%,2.8%,24.1%,16.7%,6.0%,4.1%,64.3%
231,0.042,88,2.9 people,4.7,2.0,41,35.4 years,25.4 years,"$57,859",$841,"Green Acres neighborhood in Raleigh, NC",26.9%,57.8%,16.1%,61.0%,12.5%,49.3%,2.8%,24.1%,16.7%,6.0%,4.1%,64.3%
232,0.300,621,2.4 people,1.5,2.3,298,42.4 years,26.6 years,"$52,948",$841,"Greenbriar neighborhood in Raleigh, NC",26.9%,57.8%,15.4%,55.1%,12.5%,39.9%,2.8%,21.7%,20.7%,2.4%,18.0%,72.4%
233,0.022,64,3.6 people,1.6,1.7,39,23.5 years,25.4 years,"$33,648",$717,"Greenbrook Park neighborhood in Raleigh, NC",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,25.5%,13.8%,87.3%
234,0.037,108,3.6 people,1.6,1.7,66,23.5 years,25.4 years,"$33,648",$717,"Greencastle neighborhood in Raleigh, NC",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,26.6%,13.9%,87.3%
235,0.012,35,3.6 people,1.6,1.7,21,23.5 years,25.4 years,"$33,648",$717,"Greenpark Towns neighborhood in Raleigh, NC",27.1%,36.2%,6.1%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,23.3%,14.0%,87.3%
236,0.053,120,2.5 people,1.0,2.1,57,40.9 years,44.1 years,"$68,036",$698,"Greenwood Farms neighborhood in Raleigh, NC",30.7%,45.0%,27.1%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,2.5%,3.2%,56.1%
237,0.003,1,41.2%,24.1%,259.8,2.3 people,34.1%,37.7%,"$53,929",$895,"Grey neighborhood in Raleigh, NC",1.8,10.9%,24.9%,31.4%,86.6%,22.6%,1.7,42.0%,45.8%,1.3%,0.0%,5.5%
238,0.011,25,2.1 people,1.2,2.2,12,59.9 years,57.1 years,"$99,318",$872,"Greystone Manor neighborhood in Raleigh, NC",54.2%,39.7%,46.8%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%
239,0.028,63,2.1 people,1.2,2.2,32,59.9 years,57.1 years,"$99,318",$872,"Greystone Park neighborhood in Raleigh, NC",54.2%,39.7%,46.8%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%
240,0.007,52,2.4 people,1.5,1.7,22,34.8 years,41.9 years,"$81,179",$961,"Grove Park neighborhood in Raleigh, NC",38.7%,53.3%,34.6%,42.3%,7.7%,35.2%,0.3%,18.6%,19.6%,0.0%,8.3%,65.8%
241,0.007,23,2.5 people,1.5,2.2,11,38.2 years,36.3 years,"$112,273","$1,027","Grove View neighborhood in Raleigh, NC",36.5%,59.7%,41.3%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.1%,61.6%
242,0.005,20,2.6 people,2.0,1.8,10,46.2 years,39.1 years,"$70,461","$1,186","Guard Hill neighborhood in Raleigh, NC",46.3%,49.2%,35.2%,50.6%,2.7%,61.5%,1.8%,9.6%,14.3%,0.0%,3.5%,74.2%
243,0.007,8,2.4 people,1.6,2.2,4,49.3 years,51.7 years,"$99,444","$1,486","Hamlin neighborhood in Raleigh, NC",30.1%,65.8%,38.9%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.8%,56.7%
244,0.036,82,2.6 people,1.8,2.1,42,53.1 years,44.2 years,"$147,857","$2,081","Hampton Hill neighborhood in Raleigh, NC",38.2%,56.0%,37.4%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%
245,0.168,420,2.6 people,1.8,1.9,167,35.9 years,36.5 years,"$95,333","$1,383","Hampton Oaks neighborhood in Raleigh, NC",46.2%,43.3%,33.5%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,1.0%,5.1%,85.0%
246,0.012,14,28.0 people,1.4,1.8,5,25.7 years,30.3 years,"$46,470",$823,"Harbourgate neighborhood in Raleigh, NC",46.3%,42.9%,28.6%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,20.2%,65.3%
247,0.009,49,34.0 people,1.5,1.8,25,31.2 years,32.4 years,"$42,917",$792,"Harden Place neighborhood in Raleigh, NC",36.9%,42.8%,29.4%,59.0%,18.9%,64.5%,1.4%,12.5%,12.5%,4.3%,3.5%,50.1%
248,,6,2.5 people,0.9,1.7,3,40.6 years,34.3 years,"$34,036",$595,"Hargett Oaks neighborhood in Raleigh, NC",28.8%,64.2%,16.4%,36.3%,6.4%,23.9%,0.5%,19.1%,24.2%,0.0%,28.1%,70.5%
249,0.045,13,2.7 people,1.8,2.3,5,42.0 years,44.5 years,"$53,409",$631,"Harvest Mill neighborhood in Raleigh, NC",31.9%,62.2%,11.7%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.9%,60.1%
250,,2,2.5 people,1.7,2.0,1,38.0 years,40.3 years,"$103,438",$798,"Harvey Streets Commons neighborhood in Raleigh, NC",38.1%,56.9%,41.9%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.7%,89.1%
251,0.267,"1,046",2.2 people,1.7,2.0,484,40.4 years,37.2 years,"$92,532",$981,"Hayes Barton Historic District neighborhood in Raleigh, NC",36.7%,59.3%,41.9%,54.0%,3.1%,63.7%,0.9%,11.2%,10.2%,0.0%,7.7%,66.8%
252,0.028,26,2.6 people,1.2,2.1,11,42.3 years,44.4 years,"$110,083","$1,031","Headlaw neighborhood in Raleigh, NC",53.2%,39.1%,33.0%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%
253,0.014,30,2.1 people,1.2,2.2,15,59.9 years,57.1 years,"$99,318",$872,"Hearthridge neighborhood in Raleigh, NC",54.2%,39.7%,47.1%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.3%,73.4%
254,0.034,92,2.6 people,1.6,2.1,41,44.8 years,48.3 years,"$120,583",$853,"Hedgemoor neighborhood in Raleigh, NC",52.6%,40.0%,37.6%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%
255,0.475,47,0.5 people,1.7,1.8,22,9.2 years,8.1 years,"$12,115",$201,"Hedingham Village neighborhood in Raleigh, NC",42.0%,45.8%,25.2%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,2.5%,19.2%,86.6%
256,0.008,21,2.3 people,1.5,2.2,10,39.0 years,41.1 years,"$123,293","$1,207","Hemsbury neighborhood in Raleigh, NC",46.3%,42.9%,35.9%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.2%,66.9%
257,0.015,51,2.1 people,1.1,1.4,22,31.8 years,34.6 years,"$44,079",$671,"Heritage Heights neighborhood in Raleigh, NC",37.6%,55.3%,21.4%,50.3%,5.9%,27.1%,1.2%,22.6%,16.0%,2.3%,25.6%,79.0%
258,0.001,9,3.0 people,0.5,1.0,3,27.5 years,16.7 years,"$16,161",$549,"Herndon Place neighborhood in Raleigh, NC",29.6%,67.7%,3.4%,52.4%,1.6%,12.4%,1.0%,54.0%,30.0%,0.0%,34.3%,70.7%
259,0.001,,13.2%,2.7%,9.7%,32.8%,25.1%,38.4%,$678,2.2 people,"Herndon Pointe neighborhood in Raleigh, NC",6.9%,259.8,0.8%,66.1%,3.6%,22.5%,1.1%,4.1,1.7,85.3%,10.7%,1.1%
260,0.008,3,2.2 people,4.1,1.7,2,52.4 years,41.7 years,"$49,125",$678,"Herndon Village neighborhood in Raleigh, NC",22.5%,66.1%,48.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,78.2%,85.3%
261,0.113,18,0.1 people,1.4,1.5,8,2.0 years,1.8 years,"$3,546",$43,"Hi Mount neighborhood in Raleigh, NC",38.1%,56.9%,19.0%,39.7%,3.8%,32.9%,1.2%,14.6%,9.9%,0.3%,15.9%,75.6%
262,0.198,257,2.3 people,1.5,1.9,130,41.1 years,37.8 years,"$69,576","$1,069","Hickory Hills neighborhood in Raleigh, NC",37.6%,46.9%,21.2%,44.6%,13.8%,36.0%,1.7%,15.0%,24.1%,1.6%,11.7%,74.1%
263,0.021,25,2.3 people,1.6,1.9,13,33.1 years,32.8 years,"$52,589",$834,"Hickory Hollow neighborhood in Raleigh, NC",30.7%,45.0%,14.6%,48.7%,22.7%,31.8%,1.6%,16.8%,30.4%,0.0%,12.3%,81.7%
264,0.040,77,2.6 people,1.3,2.0,40,41.8 years,38.3 years,"$48,750",$651,"Hickory Meadows neighborhood in Raleigh, NC",23.9%,53.7%,15.1%,42.1%,19.3%,41.8%,3.1%,19.8%,17.7%,6.8%,1.2%,73.9%
265,0.416,851,13.6 people,2.0,1.8,446,49.5 years,46.6 years,"$84,453",$859,"Hidden Valley neighborhood in Raleigh, NC",54.1%,39.7%,33.4%,49.4%,5.2%,44.5%,0.9%,13.0%,19.8%,1.0%,12.5%,76.1%
266,0.004,14,1.9 people,1.4,1.5,6,47.3 years,38.1 years,"$57,803",$908,"High Park Townhomes neighborhood in Raleigh, NC",38.1%,56.9%,18.5%,39.6%,3.8%,32.8%,1.2%,14.7%,9.9%,0.0%,15.8%,75.6%
267,0.012,26,2.6 people,1.8,2.1,13,53.1 years,44.2 years,"$147,857","$2,081","Highland Forest neighborhood in Raleigh, NC",38.2%,56.0%,38.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%
268,0.012,26,2.6 people,1.8,2.1,13,53.1 years,44.2 years,"$147,857","$2,081","Highland Forest neighborhood in Raleigh, NC",38.2%,56.0%,38.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%
269,0.120,161,2.4 people,1.3,2.5,90,29.3 years,32.6 years,"$46,923",$672,"Highland Gardens neighborhood in Raleigh, NC",39.7%,52.0%,41.6%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,4.9%,1.1%,62.2%
270,0.100,26,2.9 people,1.8,2.4,12,29.9 years,32.8 years,"$40,893",$787,"Hillcrest neighborhood in Raleigh, NC",23.9%,53.7%,14.0%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,25.0%,18.3%,73.1%
271,0.104,37,3.1 people,1.1,1.6,16,50.7 years,48.6 years,"$72,696","$1,066","Holly Ridge neighborhood in Raleigh, NC",39.7%,36.8%,25.4%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.7%,81.9%
272,0.013,23,2.6 people,1.2,2.8,11,26.8 years,27.2 years,"$28,650",$665,"Holston Lane neighborhood in Raleigh, NC",20.4%,57.5%,10.5%,54.1%,21.1%,16.6%,1.0%,28.1%,29.8%,10.5%,23.3%,37.5%
273,0.054,21,2.2 people,4.1,1.7,13,52.4 years,41.7 years,"$49,125",$678,"Home Acres neighborhood in Raleigh, NC",22.5%,66.1%,45.8%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,73.9%,85.3%
274,0.115,244,2.9 people,4.9,2.0,115,35.4 years,25.4 years,"$57,859",$841,"Homemont neighborhood in Raleigh, NC",26.9%,57.8%,16.0%,61.2%,12.5%,49.5%,2.8%,24.2%,16.7%,6.4%,3.9%,64.2%
275,0.054,159,3.6 people,1.6,1.7,96,23.5 years,25.4 years,"$33,648",$717,"Homeplace neighborhood in Raleigh, NC",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,27.7%,13.8%,87.3%
276,0.016,18,3.0 people,1.8,2.2,9,44.4 years,39.0 years,"$88,588","$1,099","Hope Valley neighborhood in Raleigh, NC",34.4%,38.8%,40.1%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,7.7%,20.0%,90.6%
277,0.019,4,3.2 people,1.8,2.3,1,50.0 years,53.0 years,"$63,624",$752,"Hopkins West neighborhood in Raleigh, NC",31.9%,62.2%,12.0%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,16.3%,60.1%
278,,1,1.5 people,0.9,1.4,1,36.3 years,35.5 years,"$51,386",$974,"Horse Nose Villa neighborhood in Raleigh, NC",51.8%,44.4%,30.5%,21.4%,3.2%,18.0%,0.7%,13.9%,47.5%,0.0%,36.6%,87.0%
279,0.014,5,2.8 people,1.3,2.5,2,38.2 years,42.1 years,"$51,613",$704,"Hugh Williams neighborhood in Raleigh, NC",27.1%,64.5%,33.0%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.2%,88.4%
280,0.004,22,23.0 people,0.9,1.8,9,33.2 years,44.6 years,"$29,514",$522,"Hungry Neck North neighborhood in Raleigh, NC",29.6%,67.7%,28.4%,39.5%,1.6%,29.7%,1.0%,24.5%,13.6%,0.0%,19.7%,79.6%
281,0.453,64,2.2 people,1.9,1.9,30,37.9 years,38.0 years,"$77,721","$1,159","Hunter Hill neighborhood in Raleigh, NC",39.4%,52.6%,37.4%,50.2%,7.4%,56.5%,0.6%,10.0%,12.6%,0.0%,7.6%,88.6%
282,0.145,177,3.4 people,1.8,2.0,92,38.7 years,34.7 years,"$87,468",$937,"Hunters Creek neighborhood in Raleigh, NC",37.0%,39.4%,23.0%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,6.6%,8.7%,75.5%
283,0.048,80,2.8 people,1.8,2.0,42,32.1 years,28.8 years,"$72,538",$777,"Hunters Crossing neighborhood in Raleigh, NC",37.0%,39.4%,23.3%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,3.9%,8.8%,75.5%
284,0.009,26,2.6 people,1.7,2.1,13,44.3 years,37.0 years,"$94,000",$745,"Hymettus Woods neighborhood in Raleigh, NC",39.7%,52.0%,38.2%,50.0%,7.1%,59.7%,1.1%,12.5%,18.4%,0.0%,1.2%,59.7%
285,0.104,16,1.6 people,4.1,1.7,9,38.5 years,30.6 years,"$36,080",$498,"Idlewood Village neighborhood in Raleigh, NC",22.5%,66.1%,44.5%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,71.9%,85.3%
286,0.051,86,2.8 people,1.8,2.0,45,32.1 years,28.8 years,"$72,538",$777,"Indian Hills neighborhood in Raleigh, NC",37.0%,39.4%,23.1%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,3.7%,8.7%,75.5%
287,0.012,11,33.0 people,2.1,2.3,5,23.8 years,25.3 years,"$55,139","$1,046","Isle Forest neighborhood in Raleigh, NC",36.9%,52.7%,24.4%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,7.5%,90.9%
288,0.047,28,2.3 people,1.7,1.8,13,40.8 years,36.0 years,"$53,929",$895,"Ivy Hall neighborhood in Raleigh, NC",42.0%,45.8%,25.4%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.4%,86.6%
289,0.002,5,2.1 people,1.2,2.3,2,41.7 years,43.2 years,"$70,521",$843,"Jeffries Grove neighborhood in Raleigh, NC",46.2%,43.3%,38.1%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,14.6%,69.9%
290,0.051,158,2.6 people,0.7,1.6,64,33.6 years,26.8 years,"$25,982",$610,"Joe Louis Park neighborhood in Raleigh, NC",28.8%,64.2%,5.2%,36.5%,6.4%,14.4%,0.5%,20.4%,27.4%,1.4%,32.3%,67.5%
291,0.051,62,2.3 people,1.6,2.2,30,41.3 years,42.4 years,"$76,395","$1,371","Jordan neighborhood in Raleigh, NC",30.3%,61.0%,31.1%,43.0%,7.9%,57.8%,0.9%,13.4%,16.8%,0.0%,7.1%,59.2%
292,0.045,13,2.7 people,1.8,2.3,5,42.0 years,44.5 years,"$53,409",$631,"Joseph Blake Heirs Farm neighborhood in Raleigh, NC",31.9%,62.2%,11.6%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.8%,60.1%
293,0.010,23,2.6 people,1.8,2.1,11,53.1 years,44.2 years,"$147,857","$2,081","Kenly Court neighborhood in Raleigh, NC",38.2%,56.0%,37.7%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%
294,0.170,287,2.8 people,1.8,2.0,150,32.1 years,28.8 years,"$72,538",$777,"Kentwood neighborhood in Raleigh, NC",37.0%,39.4%,23.0%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,5.8%,8.7%,75.5%
295,1.619,"4,616",2.8 people,1.3,1.9,"1,918",30.4 years,30.5 years,"$34,187",$700,"King Charles neighborhood in Raleigh, NC",24.1%,64.9%,17.7%,46.8%,10.4%,26.7%,0.7%,32.5%,20.8%,5.2%,17.2%,68.2%
296,0.154,43,3.0 people,11.3,2.6,20,41.7 years,42.8 years,"$101,250",$623,"Kings Grant neighborhood in Raleigh, NC",31.9%,62.2%,33.3%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,8.8%,84.1%
297,0.041,110,2.6 people,1.6,2.1,49,44.8 years,48.3 years,"$120,583",$853,"Kings Mill neighborhood in Raleigh, NC",52.6%,40.0%,37.5%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%
298,0.007,20,2.1 people,1.5,1.6,9,37.2 years,35.8 years,"$54,432",$774,"Kingsboro neighborhood in Raleigh, NC",25.3%,67.5%,31.4%,38.4%,6.7%,30.0%,0.5%,25.9%,16.5%,0.0%,14.3%,56.3%
299,0.135,125,2.6 people,1.2,2.1,53,42.3 years,44.4 years,"$110,083","$1,031","Kingsland neighborhood in Raleigh, NC",53.2%,39.1%,32.8%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.2%,78.6%
300,0.219,88,2.2 people,4.1,1.7,54,52.4 years,41.7 years,"$49,125",$678,"Kingwood Forest neighborhood in Raleigh, NC",22.5%,66.1%,44.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,3.4%,71.7%,85.3%
301,0.010,16,2.0 people,1.1,2.1,9,29.7 years,31.2 years,"$46,583",$614,"Kirby-Bilyeu neighborhood in Raleigh, NC",36.9%,52.7%,17.7%,23.1%,10.1%,14.0%,0.3%,23.7%,31.1%,0.0%,9.2%,37.6%
302,0.006,16,2.6 people,1.6,2.1,7,44.8 years,48.3 years,"$120,583",$853,"Kirkwood Park neighborhood in Raleigh, NC",52.6%,40.0%,39.3%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%
303,0.001,6,2.4 people,1.7,1.7,2,24.0 years,33.5 years,"$45,978",$677,"Knowles Place Townhomes neighborhood in Raleigh, NC",38.7%,53.3%,8.8%,60.8%,7.7%,34.3%,0.3%,41.0%,17.5%,0.0%,37.7%,87.7%
304,0.020,53,2.5 people,1.3,2.1,25,32.6 years,30.9 years,"$34,719",$693,"Lacrosse Pointe neighborhood in Raleigh, NC",30.5%,43.2%,24.0%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,6.3%,11.3%,84.7%
305,0.032,96,2.6 people,1.2,1.6,44,39.4 years,41.7 years,"$52,992",$802,"Lafayette neighborhood in Raleigh, NC",37.6%,55.3%,20.0%,50.6%,5.9%,28.9%,1.2%,16.3%,17.1%,0.0%,20.8%,79.6%
306,0.032,96,2.6 people,1.2,1.6,44,39.4 years,41.7 years,"$52,992",$802,"Lafayette neighborhood in Raleigh, NC",37.6%,55.3%,20.0%,50.6%,5.9%,28.9%,1.2%,16.3%,17.1%,0.0%,20.8%,79.6%
307,0.184,45,21.0 people,1.7,1.7,28,36.7 years,30.7 years,"$65,332",$853,"Lake Anne neighborhood in Raleigh, NC",48.6%,38.8%,41.6%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.3%,96.9%
308,0.014,36,2.6 people,2.4,2.1,15,50.7 years,46.4 years,"$156,285","$2,081","Lake Boone Place neighborhood in Raleigh, NC",36.9%,58.8%,32.8%,49.8%,3.7%,71.8%,0.7%,4.7%,7.3%,0.0%,1.2%,69.1%
309,0.100,270,2.5 people,1.3,2.1,128,32.6 years,30.9 years,"$34,719",$693,"Lake Forest neighborhood in Raleigh, NC",30.5%,43.2%,23.8%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,8.2%,11.1%,84.7%
310,0.024,41,2.8 people,1.8,2.0,21,32.1 years,28.8 years,"$72,538",$777,"Lake Johnson Harbour neighborhood in Raleigh, NC",37.0%,39.4%,23.1%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,2.6%,8.7%,75.5%
311,0.002,6,1.8 people,1.5,2.1,3,32.8 years,34.2 years,"$38,996",$779,"Lake Lynn Townes neighborhood in Raleigh, NC",54.1%,37.9%,41.2%,28.9%,6.6%,20.3%,1.4%,19.8%,33.7%,0.0%,19.3%,77.1%
312,0.051,62,28.0 people,1.4,1.8,22,25.7 years,30.3 years,"$46,470",$823,"Lakeland Woods neighborhood in Raleigh, NC",46.3%,42.9%,28.2%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,1.8%,19.9%,65.3%
313,0.328,"1,084",2.3 people,1.8,1.8,557,41.1 years,37.8 years,"$69,576","$1,224","Lakemont neighborhood in Raleigh, NC",46.2%,49.2%,35.7%,48.7%,2.8%,58.2%,1.8%,10.0%,14.4%,0.2%,4.1%,73.5%
314,0.195,478,25.0 people,1.3,2.0,249,51.2 years,49.2 years,"$68,162",$846,"Lakepark neighborhood in Raleigh, NC",52.6%,40.0%,40.7%,37.6%,6.6%,47.6%,0.7%,13.0%,14.4%,1.1%,6.2%,69.4%
315,0.136,162,2.5 people,1.6,2.2,77,52.5 years,55.5 years,"$143,687","$1,524","Lakestone neighborhood in Raleigh, NC",30.1%,65.8%,36.5%,41.5%,3.4%,65.1%,0.6%,12.6%,13.3%,0.0%,5.4%,56.7%
316,0.036,29,1.7 people,1.6,1.6,15,29.0 years,28.1 years,"$60,271",$888,"Lakeview Cud neighborhood in Raleigh, NC",36.6%,40.3%,39.6%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.2%,86.6%
317,0.101,409,3.0 people,1.3,2.3,147,28.6 years,38.9 years,"$33,155",$644,"Lakewood neighborhood in Raleigh, NC",25.3%,67.5%,17.2%,56.2%,6.7%,25.7%,0.5%,37.2%,21.1%,2.7%,12.0%,78.2%
318,0.057,154,2.6 people,1.6,2.1,69,44.8 years,48.3 years,"$120,583",$853,"Lambshire Downs neighborhood in Raleigh, NC",52.6%,40.0%,37.5%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%
319,0.014,12,2.6 people,1.2,2.1,5,42.3 years,44.4 years,"$110,083","$1,031","Landfall North neighborhood in Raleigh, NC",53.2%,39.1%,34.2%,57.3%,7.3%,68.1%,0.5%,7.6%,6.4%,0.0%,5.4%,78.6%
320,0.049,12,21.0 people,1.7,1.7,7,36.7 years,30.7 years,"$65,332",$853,"Landfall neighborhood in Raleigh, NC",48.6%,38.8%,41.7%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.3%,96.9%
321,0.016,12,2.9 people,2.9,2.4,5,61.3 years,64.9 years,"$168,014","$1,783","Lassiter neighborhood in Raleigh, NC",31.4%,63.9%,39.4%,44.6%,3.3%,69.9%,1.4%,11.4%,9.4%,0.0%,5.7%,59.7%
